slug,name,category_hint,confidence,proposed_tags,show_categories,music_subgenres,audience_vibe,attraction_tags,reasoning,elapsed_s,validation_warnings,proposed_tags adjustments
awesome-80-s,Awesome 80's,show,0.9,"tribute,oldies-80s,adult-humor,date-night,indoor,1-2hr",tribute,oldies-80s,"adult-humor,date-night","indoor,1-2hr",The show is clearly a tribute to the '80s with music from that era.,7.2,,
back-to-country-with-mark-aldred,Back To Country With Mark Aldred,show,0.9,"music,country,family,date-night",music,country,"family,date-night",,The show is clearly a country music performance.,5.4,,
back-to-the-bee-gees,Back To The Bee Gees,show,0.9,"tribute,oldies-70s,oldies-80s,adult-humor,date-night,indoor,1-2hr",tribute,"oldies-70s,oldies-80s","adult-humor,date-night","indoor,1-2hr","The show is clearly a tribute to the Bee Gees, covering their music from multiple decades.",7.9,,
bluegrass-bbq-festival,Bluegrass & BBQ Festival,family,0.9,"music,bluegrass,family,outdoor,food,all-day",music,bluegrass,family,"outdoor,food,all-day",The event is explicitly described as a bluegrass festival with family-friendly activities and food.,6.8,,
butterfly-palace-rainforest-adventure,Butterfly Palace & Rainforest Adventure,attraction,0.9,"family,kid-focused,indoor,educational,animals,all-day,1-2hr",,,"family,kid-focused","indoor,educational,animals,all-day,1-2hr",Clear description of an indoor attraction with butterflies and rainforest exhibits.,7.0,,
classic-country-and-comedy,Classic Country and Comedy,family,0.9,"music,comedy,country,family","music,comedy",country,family,,Clear description of classic country music and comedy with a family vibe.,5.6,,
comedy-jamboree,Comedy Jamboree,family,0.9,"comedy,family,indoor,1-2hr",comedy,,family,"indoor,1-2hr",The show is explicitly described as a comedy jamboree with a family category hint.,5.9,,
down-home-country,Down Home Country,family,0.9,"music,country,family",music,country,family,,The show is explicitly described as a country music performance suitable for families.,5.5,,
george-strait-tribute,George Strait Tribute,show,0.9,"tribute,country,family,date-night,indoor,1-2hr",tribute,country,"family,date-night","indoor,1-2hr","The show is explicitly a tribute to George Strait, a country music icon.",6.4,,
hamners-unbelievable-variety-show,Hamners' Unbelievable Variety Show,family,0.9,"variety,family,indoor,1-2hr",variety,,family,"indoor,1-2hr",The show is explicitly described as a variety show and is noted for its family-friendly nature.,7.2,,
hughes-brothers-country-show,Hughes Brothers Country Show,show,0.9,"music,country,family,date-night",music,country,"family,date-night",,The show is explicitly described as a country music performance.,5.8,,
illusionist-rick-thomas,Illusionist Rick Thomas,show,0.9,"magic,adult-humor,date-night,indoor,1-2hr",magic,,"adult-humor,date-night","indoor,1-2hr",Clear description of a magic show with typical duration and venue.,6.6,,
legends-in-concert,Legends in Concert,family,0.9,"tribute,family,indoor,1-2hr",tribute,,family,"indoor,1-2hr","Legends in Concert is a well-known tribute show category, family-friendly and indoor with a duration of about 2 hours.",6.3,,
matt-gumm-and-company,Matt Gumm and Company,show,0.9,"comedy,adult-humor,date-night,indoor,1-2hr",comedy,,"adult-humor,date-night","indoor,1-2hr",The description clearly indicates it is a comedy show.,6.3,,
neal-mccoy,Neal McCoy,show,0.9,"music,country,rock,adult-humor,date-night",music,"country,rock","adult-humor,date-night",,"Neal McCoy is a well-known country and rock artist, indicating music show with adult-oriented content.",6.6,,
new-south-gospel,New South Gospel,family,0.9,"music,gospel,gospel,family","music,gospel",gospel,family,,The show is explicitly described as gospel music and family-friendly.,5.7,show_categories: unknown tag 'gospel',
ozarks-gospel,Ozarks Gospel,family,0.9,"music,gospel,family",music,gospel,family,,Clear indication of gospel music and family-friendly category.,5.3,,
shepherd-of-the-hills-great-woodsman-canopy-tours,Shepherd of the Hills Great Woodsman Canopy Tours,attraction,0.9,"active,thrill,outdoor,ride,active,thrill,half-day",,,"active,thrill","outdoor,ride,active,thrill,half-day",The description clearly indicates an outdoor adventure activity with a duration of about 2 hours.,7.3,audience_vibe: unknown tag 'active'; audience_vibe: unknown tag 'thrill',
southern-gospel-sundays-with-the-frosts,Southern Gospel Sundays with The Frosts,show,0.9,"music,gospel,gospel,family,adult-humor,indoor,relaxed,1-2hr","music,gospel",gospel,"family,adult-humor","indoor,relaxed,1-2hr",The show is clearly a gospel music performance with family-friendly and adult-oriented content.,7.7,show_categories: unknown tag 'gospel',
the-gatlin-brothers,The Gatlin Brothers,show,0.9,"music,country,oldies-70s,oldies-80s,family,date-night",music,"country,oldies-70s,oldies-80s","family,date-night",,The Gatlin Brothers are known for country music and performing classic hits from the '70s and '80s.,8.1,,
the-petersens,The Petersens,family,0.9,"music,bluegrass,family",music,bluegrass,family,,The description clearly indicates a bluegrass music show aimed at families.,5.5,,
the-sound-of-simon-garfunkel,The Sound of Simon & Garfunkel,show,0.9,"tribute,oldies-60s,oldies-70s,adult-humor,date-night,indoor,1-2hr,relaxed",tribute,"oldies-60s,oldies-70s","adult-humor,date-night","indoor,1-2hr,relaxed","The show is a clear tribute to Simon & Garfunkel, known for their music from the 60s and 70s.",10.1,,
zep-la,Zep-LA,show,0.9,"tribute,oldies-60s,oldies-70s,oldies-80s,adult-humor,date-night",tribute,"oldies-60s,oldies-70s,oldies-80s","adult-humor,date-night",,The show is clearly a tribute to music from the specified decades.,7.8,,
absolutely-country-definitely-gospel,"Absolutely Country, Definitely Gospel",family,0.95,"music,country,gospel,family,indoor,1-2hr",music,"country,gospel",family,"indoor,1-2hr","The show explicitly mentions country and gospel music, and is categorized as family-friendly.",6.6,,
clay-cooper-s-country-express,Clay Cooper's Country Express,family,0.95,"music,country,family,indoor,1-2hr",music,country,family,"indoor,1-2hr",Clear indication of a country music show with family-friendly audience and typical indoor venue.,6.4,,
gene-watson,Gene Watson,show,0.95,"music,country,family,date-night",music,country,"family,date-night",,Clear indication of a music show with country genre.,5.6,,
joe-nichols,Joe Nichols,show,0.95,"music,country,family,date-night",music,country,"family,date-night",,"Joe Nichols is a well-known country music artist, and his show in Branson is likely to attract family and date night audiences.",7.0,,
titanic-museum-attraction,Titanic Museum Attraction,attraction,0.95,"family,educational,indoor,museum,educational,1-2hr",,,"family,educational","indoor,museum,educational,1-2hr",Clear description of an indoor museum with educational content.,6.6,audience_vibe: unknown tag 'educational',
tracy-byrd,Tracy Byrd,show,0.95,"music,country,family,date-night",music,country,"family,date-night",,Tracy Byrd is a well-known country music artist.,5.7,,
