slug,name,category_hint,confidence,proposed_tags,show_categories,music_subgenres,audience_vibe,attraction_tags,reasoning,elapsed_s,validation_warnings,agrees_with_teaching
strait-to-branson-a-george-strait-tribute,Strait to Branson - A George Strait Tribute,show,0.88,"music,tribute,country,family,date-night,indoor,1-2hr","music,tribute",country,"family,date-night","indoor,1-2hr","A George Strait tribute show clearly falls into music/tribute categories with country subgenre, family and date-night appeal, indoor setting, and approximately 2-hour duration.",2.6,,
the-bellamy-brothers,The Bellamy Brothers,show,0.82,"music,country,family,date-night,indoor,relaxed,1-2hr",music,country,"family,date-night","indoor,relaxed,1-2hr","The Bellamy Brothers are a well-known country music duo, making country music and family/date-night audience tags highly appropriate for a 2-hour live show.",2.7,,
the-duttons,The Duttons,show,0.6,"music,variety,country,family,indoor,1-2hr","music,variety",country,family,"indoor,1-2hr","The Duttons are a well-known Branson family music and variety act performing country and mixed genres, suitable for families, in a typical 2-hour indoor show format.",3.0,,
the-gatlin-brothers,The Gatlin Brothers,show,0.88,"music,country,family,date-night,indoor,1-2hr",music,country,"family,date-night","indoor,1-2hr","The Gatlin Brothers are a well-known country music act, making country and music tags clear, with a family and date-night audience typical for Branson country shows and a 2-hour duration.",4.3,,
the-haygoods,The Haygoods,show,0.7,"music,variety,country,pop,family,date-night,indoor,1-2hr","music,variety","country,pop","family,date-night","indoor,1-2hr","The Haygoods are a well-known Branson family music and variety act performing country and pop, appealing to families and couples, in an indoor 2-hour show format.",3.4,,
the-heatherlys-hits-on-route-66,The Heatherlys Hits On Route 66,show,0.55,"music,variety,country,oldies-50s,oldies-60s,oldies-70s,family,date-night,indoor,1-2hr","music,variety","country,oldies-50s,oldies-60s,oldies-70s","family,date-night","indoor,1-2hr","Route 66 theme suggests Americana-style music spanning multiple decades with country and oldies, likely family-friendly, but sparse description limits confidence.",2.9,,
the-mountain-hollers-family-band,The Mountain Hollers Family Band,show,0.75,"music,variety,country,bluegrass,family,indoor,relaxed,1-2hr","music,variety","country,bluegrass",family,"indoor,relaxed,1-2hr",The Ozarks roots and family band name strongly suggest country/bluegrass music in a family-friendly variety show format with a 2-hour duration.,2.8,,
the-petersens,The Petersens,family,0.85,"music,bluegrass,country,family,indoor,relaxed,1-2hr",music,"bluegrass,country",family,"indoor,relaxed,1-2hr","The Petersens are a well-known award-winning bluegrass family band, making music, bluegrass, family, and indoor tags highly appropriate for a 2-hour show.",2.7,,
the-revollusionists,The Revollusionists,show,0.6,"variety,magic,family,date-night,indoor,1-2hr","variety,magic",,"family,date-night","indoor,1-2hr","Based on the teaching example for The Revollusionists, the show is a variety/magic show with family and date-night appeal, running approximately 2 hours indoors.",2.7,,yes
the-sons-of-britches,The Sons of Britches,show,0.75,"music,variety,oldies-50s,oldies-60s,oldies-70s,oldies-80s,family,date-night,indoor,relaxed,1-2hr","music,variety","oldies-50s,oldies-60s,oldies-70s,oldies-80s","family,date-night","indoor,relaxed,1-2hr","Sing-along format with familiar tunes suggests a variety/music show spanning multiple decades, family and date-night friendly, with a 2-hour duration fitting the 1-2hr bracket based on teaching exampl",3.0,,no
the-sound-of-simon-garfunkel,The Sound of Simon & Garfunkel,show,0.82,"music,tribute,oldies-60s,oldies-70s,family,date-night,indoor,relaxed,1-2hr","music,tribute","oldies-60s,oldies-70s","family,date-night","indoor,relaxed,1-2hr","Simon & Garfunkel tribute show featuring their classic folk-pop music primarily from the 60s and 70s, likely appealing to families and couples in a relaxed indoor setting with a 2-hour duration.",3.0,music_subgenres: unknown 'folk',
the-texas-tenors,The Texas Tenors,show,0.75,"music,country,pop,classical,family,date-night,indoor,relaxed,1-2hr",music,"country,pop,classical","family,date-night","indoor,relaxed,1-2hr","The Texas Tenors are a well-known vocal trio blending country, pop, and classical styles in a live performance setting, appealing to families and couples with a 2-hour duration.",2.8,,
tracy-byrd,Tracy Byrd,show,0.85,"music,country,family,date-night,indoor,1-2hr",music,country,"family,date-night","indoor,1-2hr","Tracy Byrd is a well-known country music artist, so this is clearly a country music show suitable for families and date nights with a 2-hour duration.",2.4,,
ultimate-70s-show,Ultimate 70s Show,show,0.88,"music,tribute,oldies-70s,pop,rock,family,date-night,indoor,1-2hr","music,tribute","oldies-70s,pop,rock","family,date-night","indoor,1-2hr","A tribute-style music show focused on 1970s pop and rock hits performed at an indoor theatre with a 2-hour duration, appealing to families and couples.",4.5,,
ultimate-elvis-contest-headliner-act-cote-deonath,Ultimate Elvis Contest Headliner Act: Cote Deonath,show,0.88,"music,tribute,rock,oldies-50s,oldies-60s,family,date-night,indoor,1-2hr","music,tribute","rock,oldies-50s,oldies-60s","family,date-night","indoor,1-2hr","An Elvis tribute act clearly falls under music and tribute categories with rock and oldies-50s/60s subgenres, family and date-night appeal, indoor venue, and 2-hour duration.",2.7,,
where-jesus-walked-immersive,Where Jesus Walked Immersive,show,0.8,"variety,family,religious,indoor,educational,relaxed,1-2hr",variety,,"family,religious","indoor,educational,relaxed,1-2hr","An immersive virtual experience about Jesus's life is clearly religious and educational, suitable for families, and fits a 2-hour indoor relaxed format.",2.8,,no
whodunnit-hoedown-murder-mystery-dinner-show,WhoDunnit Hoedown Murder Mystery Dinner Show,show,0.75,"variety,comedy,country,family,adult-humor,date-night,indoor,food,active,1-2hr","variety,comedy",country,"family,adult-humor,date-night","indoor,food,active,1-2hr","A murder mystery dinner show with a hoedown theme suggests country music, comedy/variety format, family-friendly with some adult humor, indoor dining, and approximately 2-hour duration.",3.0,,
zep-la,Zep-LA,show,0.82,"music,tribute,rock,oldies-60s,oldies-70s,oldies-80s,adult-humor,date-night,indoor,1-2hr","music,tribute","rock,oldies-60s,oldies-70s,oldies-80s","adult-humor,date-night","indoor,1-2hr","Zep-LA is clearly a Led Zeppelin tribute rock show covering the 60s-80s era, likely appealing to adult and date-night audiences with a standard 2-hour show duration.",3.1,,
butterfly-palace-rainforest-adventure,Butterfly Palace & Rainforest Adventure,attraction,0.88,"family,kid-focused,indoor,animals,educational,relaxed,1-2hr",,,"family,kid-focused","indoor,animals,educational,relaxed,1-2hr","A butterfly palace with live butterflies, rainforest habitat, and interactive exhibits is clearly a family/kid-focused indoor educational attraction with animals, fitting a 2-hour duration.",2.8,,
copperhead-mountain-coaster,Copperhead Mountain Coaster,attraction,0.92,"family,date-night,outdoor,ride,thrill,under-1hr",,,"family,date-night","outdoor,ride,thrill,under-1hr","A downhill mountain coaster is clearly an outdoor thrill ride suitable for families and couples, with a 0.5h duration placing it under-1hr.",2.5,,no
fritzs-adventure,Fritz's Adventure,attraction,0.85,"family,indoor,outdoor,active,thrill,1-2hr",,,family,"indoor,outdoor,active,thrill,1-2hr","Fritz's Adventure is an adventure park with ropes courses, climbing, and zip lines, clearly family-oriented with active and thrill elements; the 2-hour duration fits 1-2hr, and the facility is known t",2.8,,
bransons-wild-world,Branson's Wild World,attraction,0.82,"family,kid-focused,indoor,outdoor,animals,educational,relaxed,1-2hr",,,"family,kid-focused","indoor,outdoor,animals,educational,relaxed,1-2hr","A zoo and animal encounter attraction is clearly family and kid-focused with animals and educational tags; indoor/outdoor mix is typical for zoos, and the 2-hour duration maps to 1-2hr.",2.8,,
titanic-museum-attraction,Titanic Museum Attraction,attraction,0.92,"family,date-night,indoor,museum,relaxed,educational,history,1-2hr",,,"family,date-night","indoor,museum,relaxed,educational,history,1-2hr","The Titanic Museum is a well-known indoor museum attraction featuring real artifacts and interactive exhibits focused on the historical Titanic disaster, clearly educational and history-oriented with ",3.2,,
adventure-seekers,Adventure Seekers,attraction,0.35,"family,active,1-2hr",,,family,"active,1-2hr","The name 'Adventure Seekers' implies an active, likely family-oriented attraction, but the description provides no detail about indoor/outdoor, theme, or specific activity type, so confidence is low.",2.5,,
aquarium-at-the-boardwalk,Aquarium At The Boardwalk,attraction,0.75,"family,kid-focused,indoor,educational,relaxed,animals,1-2hr",,,"family,kid-focused","indoor,educational,relaxed,animals,1-2hr","An aquarium attraction is almost certainly indoor, family/kid-focused, educational, and features animals, with a 2-hour duration matching the 1-2hr tag.",2.8,,
branson-dinosaur-museum,Branson Dinosaur Museum,attraction,0.75,"family,indoor,educational,museum,history,animals,1-2hr",,,family,"indoor,educational,museum,history,animals,1-2hr","Dinosaur museums are consistently indoor, educational, family-friendly attractions with fossil/animal exhibits and history elements; 2-hour duration maps to 1-2hr tag.",2.6,,no
branson-scenic-railway,Branson Scenic Railway,attraction,0.7,"family,date-night,outdoor,ride,relaxed,educational,history,1-2hr",,,"family,date-night","outdoor,ride,relaxed,educational,history,1-2hr","Scenic railway tours are typically outdoor, relaxed rides with historical/educational elements suitable for families and couples, with a 2-hour duration matching the 1-2hr tag.",3.0,,
branson-hills-golf-club,Branson Hills Golf Club,attraction,0.7,"family,date-night,outdoor,active,half-day,1-2hr",,,"family,date-night","outdoor,active,half-day,1-2hr","Golf club is clearly an outdoor active attraction; family and date-night are reasonable audience assumptions for a golf course, with 2-hour duration fitting 1-2hr tag.",3.2,,no
branson-duck-tours,Branson Duck Tours,attraction,0.75,"family,date-night,outdoor,ride,active,1-2hr",,,"family,date-night","outdoor,ride,active,1-2hr","Duck tours are well-known land-and-water vehicle tours, family and date-night friendly, outdoor, and typically run around 1-2 hours based on the listed duration.",2.5,,no
branson-zipline-at-wolfe-mountain,Branson Zipline at Wolfe Mountain,attraction,0.72,"family,date-night,outdoor,active,thrill,half-day,1-2hr",,,"family,date-night","outdoor,active,thrill,half-day,1-2hr","Zipline attractions are outdoor, active, and thrilling experiences typically appealing to families and couples, with a 2-hour duration fitting the 1-2hr and half-day tags.",2.6,,
coral-reef-mini-golf,Coral Reef Mini Golf,attraction,0.6,"family,date-night,outdoor,active,under-1hr,1-2hr",,,"family,date-night","outdoor,active,under-1hr,1-2hr","Mini golf is typically an outdoor, family and date-night activity with a duration fitting under 1-2 hours, though the coral reef theme and indoor/outdoor nature is uncertain from the sparse descriptio",3.3,,
hollywood-wax-museum-entertainment-center,Hollywood Wax Museum Entertainment Center,attraction,0.72,"family,indoor,museum,relaxed,educational,1-2hr",,,family,"indoor,museum,relaxed,educational,1-2hr",Hollywood Wax Museums are well-known indoor wax figure museums that are family-friendly and typically take 1-2 hours to explore.,3.0,,
ozark-hills-winery-wine-tasting,Ozark Hills Winery Wine Tasting,attraction,0.7,"date-night,indoor,relaxed,food,1-2hr",,,date-night,"indoor,relaxed,food,1-2hr","Wine tasting is a relaxed, date-night-oriented food activity typically held indoors, with a 2-hour duration matching the 1-2hr tag.",2.3,,no
ozarks-aglow-nighttime-walk,Ozarks Aglow Nighttime Walk,attraction,0.6,"family,outdoor,educational,1-2hr",,,family,"outdoor,educational,1-2hr","Based on the name and prior teaching example, Ozarks Aglow Nighttime Walk is a family-friendly outdoor walk; duration of 2h maps to 1-2hr tag.",2.6,,no
parakeet-pete-s,Parakeet Pete's,attraction,0.45,"family,animals,outdoor,1-2hr",,,family,"animals,outdoor,1-2hr","The name 'Parakeet Pete's' strongly implies an animal-based attraction (parakeets), likely outdoor and family-friendly, with a 2-hour duration, but the sparse description limits confidence.",2.7,,
pink-jeep-tours,Pink Jeep Tours,attraction,0.6,"family,date-night,outdoor,ride,active,1-2hr",,,"family,date-night","outdoor,ride,active,1-2hr","Pink Jeep Tours are well-known guided off-road/sightseeing jeep tours, typically outdoor and active with family and date-night appeal, and the 2-hour duration maps to 1-2hr.",2.9,,
retromania,Retromania,attraction,0.4,"family,indoor,1-2hr",,,family,"indoor,1-2hr","The name 'Retromania' suggests a retro-themed attraction with a 2-hour duration, but the sparse description provides insufficient detail to confidently assign specific tags beyond duration and a gener",2.6,,no
runaway-mountain-coaster,Runaway Mountain Coaster,attraction,0.7,"family,date-night,outdoor,ride,thrill,under-1hr",,,"family,date-night","outdoor,ride,thrill,under-1hr","Mountain coasters are outdoor thrill rides typically suitable for families and couples, with individual runs lasting well under an hour despite a listed 2h visit window.",3.0,,
shepherd-of-the-hills-historic-homestead-tour,Shepherd of the Hills Historic Homestead Tour,attraction,0.7,"family,outdoor,educational,history,relaxed,1-2hr",,,family,"outdoor,educational,history,relaxed,1-2hr","The Shepherd of the Hills Historic Homestead Tour is likely an outdoor, educational, historically-focused attraction based on its name and 2-hour duration, consistent with similar Shepherd of the Hill",3.1,,
shepherd-of-the-hills-vigilante-extreme-ziprider,Shepherd of the Hills Vigilante Extreme ZipRider,attraction,0.75,"family,date-night,outdoor,ride,thrill,active,1-2hr",,,"family,date-night","outdoor,ride,thrill,active,1-2hr","A ZipRider is clearly an outdoor thrill ride attraction; family and date-night appeal is typical for this type of activity, and the 2-hour duration maps to 1-2hr.",3.1,,
shepherd-of-the-hills-great-woodsman-canopy-tours,Shepherd of the Hills Great Woodsman Canopy Tours,attraction,0.65,"family,date-night,outdoor,active,thrill,2-3hr",,,"family,date-night","outdoor,active,thrill,2-3hr","Canopy tours are outdoor, active, and thrilling zip-line style attractions typically appealing to families and couples, with a 2-hour duration placing it in the 2-3hr bracket.",2.7,,
shepherd-of-the-hills-north-pole-adventure,Shepherd of the Hills - North Pole Adventure,attraction,0.6,"family,outdoor,educational,1-2hr",,,family,"outdoor,educational,1-2hr","Based on the teaching example for Shepherd of the Hills - North Pole Adventure, the corrected tags are family, outdoor, educational, and given the 2h duration noted, 1-2hr is added.",2.8,,no
shepherd-of-the-hills-inspiration-tower,Shepherd of the Hills Inspiration Tower,attraction,0.7,"family,outdoor,educational,relaxed,1-2hr",,,family,"outdoor,educational,relaxed,1-2hr","Based on the teaching example for this same attraction, the corrected tags are outdoor, educational, relaxed, and 1-2hr for the Shepherd of the Hills Inspiration Tower.",2.6,,yes
silver-dollar-city,Silver Dollar City,attraction,0.72,"family,outdoor,ride,thrill,active,food,shopping,half-day,all-day",,,family,"outdoor,ride,thrill,active,food,shopping,half-day,all-day","Silver Dollar City is a well-known Branson theme park with rides, shows, food, and shopping, primarily family-oriented and outdoor, though the sparse description limits precision on duration and subge",3.3,,
snowflex-tubing-at-wolfe-mountain,Snowflex Tubing at Wolfe Mountain,attraction,0.7,"family,outdoor,active,thrill,1-2hr",,,family,"outdoor,active,thrill,1-2hr","Snowflex tubing is an outdoor snow tubing activity on a hill, suitable for families with thrill elements, and the duration is listed as 2 hours.",2.5,,
the-social-birdy-putting-golf,The Social Birdy Putting Golf,attraction,0.75,"family,date-night,outdoor,active,1-2hr",,,"family,date-night","outdoor,active,1-2hr","Based on the name 'Social Birdy Putting Golf' and 2-hour duration, this is a putting golf attraction suitable for families and date nights, likely outdoor based on prior corrections to similar attract",4.0,,no
truth-traveler,Truth Traveler,attraction,0.45,"family,religious,indoor,educational,relaxed,1-2hr",,,"family,religious","indoor,educational,relaxed,1-2hr","The name 'Truth Traveler' suggests an immersive or educational religious/faith-based experience common in Branson, but the sparse description limits confidence in specific tags.",2.5,,
veterans-memorial-museum,Veterans Memorial Museum,attraction,0.82,"family,indoor,museum,educational,relaxed,history,1-2hr",,,family,"indoor,museum,educational,relaxed,history,1-2hr","A veterans memorial museum is clearly an indoor, educational, history-focused museum attraction with a relaxed family-friendly vibe and a stated 2-hour duration.",2.9,audience_vibe: unknown 'educational',
white-water,White Water,attraction,0.75,"family,outdoor,water,all-day,half-day",,,family,"outdoor,water,all-day,half-day","White Water is a well-known Branson water park suitable for families, with all-day and half-day visit options based on prior calibration.",2.3,,yes
wonderworks,WonderWorks,attraction,0.72,"family,kid-focused,indoor,active,educational,thrill,1-2hr",,,"family,kid-focused","indoor,active,educational,thrill,1-2hr","WonderWorks is a well-known interactive science-based attraction chain with hands-on exhibits appealing to families and kids, typically indoors with a 2-hour duration.",2.9,,
world-s-largest-toy-museum-complex,World's Largest Toy Museum Complex,attraction,0.75,"family,kid-focused,indoor,museum,relaxed,educational,1-2hr",,,"family,kid-focused","indoor,museum,relaxed,educational,1-2hr","A toy museum complex is clearly family and kid-focused, indoor, educational, and museum-type with a 2-hour duration indicated.",2.5,,
